O_Purpose,D_Purpose,Distance,Travel_Time,Age_Group,Gender,License,HH_Size,Num_Student,Num_Driver,Num_Worker,Num_Vehicle,HH_Income,HH_Trips,TRAVEL_MODE
1,9,6.534,30,11,2,1,2,0,2,0,1,5,7,4
9,1,7.155,40,11,2,1,2,0,2,0,1,5,7,4
4,9,7.947,19,12,1,1,1,0,1,0,1,3,7,3
2,1,1.192,18,6,2,1,2,0,2,2,1,5,6,4
1,4,11.94,30,10,1,1,2,0,2,0,2,7,4,3
1,9,11.263,30,10,2,1,2,0,2,0,2,7,4,3
9,9,11.471,45,10,2,1,2,0,2,0,2,7,4,3
1,1,0.394,25,7,1,2,1,0,0,1,0,1,4,1
1,1,0.396,15,7,1,2,1,0,0,1,0,1,4,1
9,4,1.401,10,6,2,1,5,3,2,1,3,8,6,3
4,9,1.27,10,6,2,1,5,3,2,1,3,8,6,3
1,2,9.432,25,9,1,1,3,1,2,2,2,7,12,3
2,1,9.709,40,9,1,1,3,1,2,2,2,7,12,3
1,9,5.3,15,9,1,1,3,1,2,2,2,7,12,3
9,1,4.586,10,9,1,1,3,1,2,2,2,7,12,3
1,4,3.945,20,9,2,1,3,1,2,2,2,7,12,3
4,1,3.672,15,9,2,1,3,1,2,2,2,7,12,3
1,8,2.19,15,2,1,2,3,1,2,2,2,7,12,4
8,1,1.842,15,2,1,2,3,1,2,2,2,7,12,4
1,4,2.14,11,11,1,1,1,0,1,1,1,6,7,3
9,2,2.096,15,11,1,1,1,0,1,1,1,6,7,3
2,1,5.34,15,11,1,1,1,0,1,1,1,6,7,3
4,1,2.144,14,11,1,1,1,0,1,1,1,6,7,3
1,4,5.705,15,9,1,1,1,0,1,1,2,7,3,3
9,9,11.607,24,3,2,2,4,0,2,2,1,7,12,4
9,9,2.969,13,3,2,2,4,0,2,2,1,7,12,4
1,4,3.215,16,10,1,1,2,0,2,2,2,8,11,3
2,1,2.04,13,8,2,1,4,0,2,2,3,8,2,3
1,9,5.76,15,10,1,1,1,0,1,1,1,3,2,3
9,1,5.862,17,10,1,1,1,0,1,1,1,3,2,3
1,4,7.506,35,10,2,1,3,1,3,2,3,8,10,3
4,1,8.073,25,10,2,1,3,1,3,2,3,8,10,3
